ixdat version = 0.2.0dev
name = extended_platinum_ec
technique = EC
tstamp = 1580466722.0
backend_name = BackendBase(none, address=none)
id = 11
timecol 'time/s' for: '$U_{RHE}$ / [V]' and 'raw_current' and 'selector'
aliases = {"t": ["time/s"], "raw_potential": ["$U_{RHE}$ / [V]"], "raw_current": ["raw_current"], "selector": ["selector"]}
N_header_lines = 11

time/s,	$U_{RHE}$ / [V],	raw_current,	selector
16068.468351602554,	1.8663009000000002,	0.050006285,	0
16068.968351602554,	1.8661102,	0.050006922,	0
16069.468351602554,	1.8665680999999998,	0.050002467,	0
16069.968351602554,	1.8657096000000002,	0.050009467,	0
16070.468351602554,	1.8654234,	0.050011374,	0
16070.968351602554,	1.8647748000000002,	0.050015192,	0
16071.468351602554,	1.8645649999999998,	0.0500171,	0
16071.968351602554,	1.8643361,	0.050021552,	0
16072.468351602554,	1.8638591,	0.050024737,	0
16072.968351602554,	1.8643361,	0.050013918,	0
16073.468351602554,	1.8642978000000001,	0.050012648,	0
16073.968351602554,	1.8647939,	0.050011374,	0
16074.468351602554,	1.8652707999999998,	0.050013918,	0
16074.968351602554,	1.8654806000000002,	0.050014555,	0
16075.468351602554,	1.8652517,	0.050010741,	0
16075.968351364136,	1.8651754999999999,	0.050005015,	0
16076.468351364136,	1.8654806000000002,	0.05000056,	0
16076.968351364136,	1.8661292,	0.050003745,	0
16077.468351364136,	1.8657477999999998,	0.050006922,	0
16077.968351364136,	1.8652899,	0.050006922,	0
16078.468351364136,	1.8656904,	0.050002467,	0
16078.968351364136,	1.8665299000000002,	0.050001834,	0
16079.468351364136,	1.8662817999999999,	0.050005015,	0
16079.968351364136,	1.8659767,	0.050006922,	0
16080.468351364136,	1.8659194000000001,	0.0500101,	0
16080.968351364136,	1.8666062,	0.050013918,	0
16081.468351364136,	1.8663772,	0.050012648,	0
16081.968351364136,	1.8661292,	0.050021552,	0
16082.468351364136,	1.865576,	0.0500241,	0
16082.968351364136,	1.8650419,	0.05002537,	0
16083.468351364136,	1.8647939,	0.050029822,	0
16083.968351364136,	1.8657477999999998,	0.050017737,	0
16084.468351364136,	1.8654616000000002,	0.050031096,	0
16084.968351364136,	1.8653471000000001,	0.050024737,	0
16085.468351364136,	1.8654997,	0.050011374,	0
16085.968351364136,	1.8654425,	0.0500171,	0
16086.468351364136,	1.8654425,	0.050002467,	0
16086.968351364136,	1.8659957,	0.050006285,	0
16087.468351364136,	1.8660910999999998,	0.050003745,	0
16087.968351364136,	1.8661482999999999,	0.050014555,	0
16088.468351364136,	1.8664727,	0.050007559,	0
16088.968351364136,	1.8669305,	0.050003104,	0
16089.468351364136,	1.8667968999999998,	0.050008193,	0
16089.968351364136,	1.8668732000000001,	0.050003104,	0
16090.468351364136,	1.8671213,	0.0500101,	0
16090.968351364136,	1.8669113999999998,	0.050005652,	0
16091.468351364136,	1.8665299000000002,	0.050008193,	0
16091.968351364136,	1.8668923,	0.050017737,	0
16092.468351364136,	1.8663390999999998,	0.050007559,	0
16092.968351364136,	1.8666253,	0.050012011,	0
16093.468351364136,	1.8663580999999998,	0.050011374,	0
16093.968351364136,	1.8655377999999998,	0.050009467,	0
16094.468351364136,	1.8656141000000002,	0.050013918,	0
16094.968351364136,	1.8654616000000002,	0.05000883,	0
16095.468351364136,	1.8647748000000002,	0.050015192,	0
16095.968351125717,	1.8653662,	0.0500171,	0
16096.468351125717,	1.8653662,	0.050018374,	0
16096.968351125717,	1.8643169,	0.050017737,	0
16097.468351125717,	1.8650992,	0.050019644,	0
16097.968351125717,	1.8662245999999998,	0.050013285,	0
16098.468351125717,	1.8663963,	0.050018374,	0
16098.968351125717,	1.8661102,	0.050013918,	0
16099.468351125717,	1.8668732000000001,	0.050020918,	0
16099.968351125717,	1.866072,	0.050013285,	0
16100.468351125717,	1.8662627999999999,	0.050004374,	0
16100.968351125717,	1.8663772,	0.050004374,	0
16101.468351125717,	1.8664535999999998,	0.050011374,	0
16101.968351125717,	1.8665680999999998,	0.050006922,	0
16102.468351125717,	1.8667968999999998,	0.050004374,	0
16102.968351125717,	1.8664345,	0.050002467,	0
16103.468351125717,	1.867293,	0.05000883,	0
16103.968351125717,	1.8668923,	0.050001197,	0
16104.468351125717,	1.8674073999999998,	0.050007559,	0
16104.968351125717,	1.8667968999999998,	0.050004374,	0
16105.468351125717,	1.8669685999999999,	0.050003745,	0
16105.968351125717,	1.8661674000000001,	0.050015192,	0
16106.468351125717,	1.8663963,	0.050019644,	0
16106.968351125717,	1.8664535999999998,	0.050013918,	0
16107.468351125717,	1.8660339000000001,	0.050012648,	0
16107.968351125717,	1.866072,	0.050018374,	0
16108.468351125717,	1.8655377999999998,	0.050016467,	0
16108.968351125717,	1.8655187999999998,	0.050016467,	0
16109.468351125717,	1.8653471000000001,	0.050018374,	0
16109.968351125717,	1.8658622,	0.050016467,	0
16110.468351125717,	1.8653852999999998,	0.050012011,	0
16110.968351125717,	1.8650992,	0.050010741,	0
16111.468351125717,	1.8653279999999999,	0.050014555,	0
16111.968351125717,	1.8665680999999998,	0.050009467,	0
16112.468351125717,	1.8664918,	0.050008193,	0
16112.968351125717,	1.8672548,	0.050005652,	0
16113.468351125717,	1.8671595,	0.050005652,	0
16113.968351125717,	1.8672357000000002,	0.050008193,	0
16114.468351125717,	1.8676171999999998,	0.050007559,	0
16114.968351125717,	1.8682849,	0.050004374,	0
16115.468350887299,	1.8683611999999998,	0.050006922,	0
16115.968350887299,	1.8672738999999998,	0.050011374,	0
16116.468350887299,	1.8664727,	0.0500101,	0
16116.968350887299,	1.8666633999999998,	0.050015192,	0
16117.468350887299,	1.8666443,	0.050014555,	0
16117.968350887299,	1.8661674000000001,	0.050012011,	0
16118.468350887299,	1.867064,	0.050015192,	0
16118.968350887299,	1.8666633999999998,	0.050023463,	0
16119.468350887299,	1.8663772,	0.050020281,	0
16119.968350887299,	1.8664727,	0.050030462,	0
16120.468350887299,	1.8667968999999998,	0.050024737,	0
16120.968350887299,	1.8671403999999998,	0.050022192,	0
16121.468350887299,	1.8669685999999999,	0.050019644,	0
16121.968350887299,	1.8660339000000001,	0.0500171,	0
16122.468350887299,	1.8665108,	0.050024737,	0
16122.968350887299,	1.8661482999999999,	0.050021552,	0
16123.468350887299,	1.8661865,	0.050020281,	0
16123.968350887299,	1.8667968999999998,	0.050012648,	0
16124.468350887299,	1.8669877000000001,	0.050003745,	0
16124.968350887299,	1.8674646,	0.050012011,	0
16125.468350887299,	1.8668923,	0.050005015,	0
16125.968350887299,	1.8676743999999998,	0.050012011,	0
16126.468350887299,	1.8676171999999998,	0.050004374,	0
16126.968350887299,	1.8676171999999998,	0.050012011,	0
16127.468350887299,	1.8680751,	0.050012011,	0
16127.968350887299,	1.867083,	0.050011374,	0
16128.468350887299,	1.8681514,	0.050012011,	0
16128.968350887299,	1.8679606999999998,	0.050015826,	0
16129.468350887299,	1.867083,	0.050016467,	0
16129.968350887299,	1.8673311,	0.050007559,	0
16130.468350887299,	1.8661674000000001,	0.0500101,	0
16130.968350887299,	1.8671022000000002,	0.050008193,	0
16131.468350887299,	1.867064,	0.050018374,	0
16131.968350887299,	1.8656141000000002,	0.050015826,	0
16132.468350887299,	1.8668923,	0.050010741,	0
16132.968350887299,	1.8662627999999999,	0.050011374,	0
16133.468350887299,	1.8656141000000002,	0.050012648,	0
16133.968350887299,	1.8662627999999999,	0.050022192,	0
16134.468350887299,	1.8660339000000001,	0.050018374,	0
16134.968350887299,	1.8663580999999998,	0.050011374,	0
16135.46835064888,	1.8672738999999998,	0.050015826,	0
16135.96835064888,	1.8675408999999998,	0.050013285,	0
16136.46835064888,	1.8674265,	0.050013285,	0
16136.96835064888,	1.8683040000000002,	0.050007559,	0
16137.46835064888,	1.8680370000000002,	0.050005652,	0
16137.96835064888,	1.8689334999999998,	0.050013285,	0
16138.46835064888,	1.8684758000000001,	0.05000883,	0
16138.96835064888,	1.8686856,	0.050003104,	0
16139.46835064888,	1.8685521,	0.050001197,	0
16139.96835064888,	1.8675028,	0.05000883,	0
16140.46835064888,	1.8678844,	0.050011374,	0
16140.96835064888,	1.867083,	0.050007559,	0
16141.46835064888,	1.8671785,	0.05000883,	0
16141.96835064888,	1.8671976,	0.050012011,	0
16142.46835064888,	1.8674837000000002,	0.050012648,	0
16142.96835064888,	1.8683231,	0.050018374,	0
16143.46835064888,	1.8668542000000001,	0.050010741,	0
16143.96835064888,	1.8674646,	0.0500241,	0
16144.46835064888,	1.8672738999999998,	0.050019644,	0
16144.96835064888,	1.8663772,	0.05002537,	0
16145.46835064888,	1.8668923,	0.050027914,	0
16145.96835064888,	1.8670448999999998,	0.05002537,	0
16146.46835064888,	1.8663580999999998,	0.050023463,	0
16146.96835064888,	1.8675791,	0.050005015,	0
16147.46835064888,	1.8681131999999998,	0.050014555,	0
16147.96835064888,	1.8676553999999999,	0.050007559,	0
16148.46835064888,	1.8678081,	0.050006922,	0
16148.96835064888,	1.8678081,	0.050012011,	0
16149.46835064888,	1.8681705000000002,	0.050005015,	0
16149.96835064888,	1.8677506999999998,	0.050001834,	0
16150.46835064888,	1.8679225000000002,	0.050005015,	0
16150.96835064888,	1.8678653,	0.050006285,	0
16151.46835064888,	1.8676935000000001,	0.050006922,	0
16151.96835064888,	1.8678271,	0.050006922,	0
16152.46835064888,	1.8683231,	0.050006922,	0
16152.96835064888,	1.8675981,	0.050009467,	0
16153.46835064888,	1.867083,	0.050005015,	0
16153.96835064888,	1.8677890000000001,	0.050008193,	0
16154.46835064888,	1.8673883,	0.050009467,	0
16154.968350410461,	1.8681514,	0.050006285,	0
16155.468350410461,	1.8674073999999998,	0.0500171,	0
16155.968350410461,	1.8678271,	0.050022192,	0
16156.468350410461,	1.8667015999999998,	0.050017737,	0
16156.968350410461,	1.8674073999999998,	0.050027277,	0
16157.468350410461,	1.8668732000000001,	0.050029188,	0
16157.968350410461,	1.8668350999999999,	0.050020918,	0
16158.468350410461,	1.8671785,	0.050029188,	0
16158.968350410461,	1.8680370000000002,	0.0500101,	0
16159.468350410461,	1.8679796999999998,	0.050013285,	0
16159.968350410461,	1.8683231,	0.050012648,	0
16160.468350410461,	1.8680941999999998,	0.050011374,	0
16160.968350410461,	1.8680560000000002,	0.050009467,	0
16161.468350410461,	1.8681705000000002,	0.050001834,	0
16161.968350410461,	1.8683611999999998,	0.050003745,	0
16162.468350410461,	1.8679606999999998,	0.050006285,	0
16162.968350410461,	1.8681131999999998,	0.050002467,	0
16163.468350410461,	1.8683993,	0.050006922,	0
16163.968350410461,	1.8690479999999998,	0.049998019,	0
16164.468350410461,	1.8684948000000001,	0.050006285,	0
16164.968350410461,	1.8683803,	0.050005652,	0
16165.468350410461,	1.8674456,	0.050011374,	0
16165.968350410461,	1.8680751,	0.050015192,	0
16166.468350410461,	1.8672167000000002,	0.050012648,	0
16166.968350410461,	1.8682658,	0.050013918,	0
16167.468350410461,	1.8677698,	0.0500241,	0
16167.968350410461,	1.8677506999999998,	0.05002537,	0
16168.468350410461,	1.8674456,	0.050027914,	0
16168.968350410461,	1.8676935000000001,	0.050022826,	0
16169.468350410461,	1.8673693,	0.050019011,	0
16169.968350410461,	1.8673883,	0.0500241,	0
16170.468350410461,	1.8671785,	0.050014555,	0
16170.968350410461,	1.8675408999999998,	0.050017737,	0
16171.468350410461,	1.8679416,	0.050012648,	0
16171.968350410461,	1.8683993,	0.050006922,	0
16172.468350410461,	1.8686093000000001,	0.050004374,	0
16172.968350410461,	1.8682276999999998,	0.049999926,	0
16173.468350410461,	1.8685329999999998,	0.049998648,	0
16173.968350410461,	1.8686283000000001,	0.050003104,	0
16174.468350172043,	1.8689144999999998,	0.049999926,	0
16174.968350172043,	1.8690669999999998,	0.050001197,	0
16175.468350172043,	1.8685139,	0.049999289,	0
16175.968350172043,	1.8689717,	0.050007559,	0
16176.468350172043,	1.8684948000000001,	0.050013918,	0
16176.968350172043,	1.8689717,	0.050011374,	0
16177.468350172043,	1.8689144999999998,	0.0500101,	0
16177.968350172043,	1.8691243000000002,	0.050015826,	0
16178.468350172043,	1.8682468,	0.0500101,	0
16178.968350172043,	1.8675218,	0.050013285,	0
16179.468350172043,	1.8677126,	0.050018374,	0
16179.968350172043,	1.8679606999999998,	0.050005652,	0
16180.468350172043,	1.8671595,	0.050021552,	0
16180.968350172043,	1.8672548,	0.050026007,	0
16181.468350172043,	1.8673883,	0.050018374,	0
16181.968350172043,	1.867293,	0.050016467,	0
16182.468350172043,	1.8676171999999998,	0.050027277,	0
16182.968350172043,	1.8676743999999998,	0.050019011,	0
16183.468350172043,	1.8683421,	0.050018374,	0
16183.968350172043,	1.8684758000000001,	0.050018374,	0
16184.468350172043,	1.8693914,	0.050016467,	0
16184.968350172043,	1.8693532999999998,	0.050005652,	0
16185.468350172043,	1.8691433000000002,	0.049997378,	0
16185.968350172043,	1.8689526,	0.049998019,	0
16186.468350172043,	1.8692387999999998,	0.05000056,	0
16186.968350172043,	1.8689334999999998,	0.050007559,	0
16187.468350172043,	1.8690098000000002,	0.050008193,	0
16187.968350172043,	1.8693722999999998,	0.050003104,	0
16188.468350172043,	1.8695439999999999,	0.050013285,	0
16188.968350172043,	1.8697157,	0.050015192,	0
16189.468350172043,	1.8691433000000002,	0.050012011,	0
16189.968350172043,	1.8684374999999998,	0.050008193,	0
16190.468350172043,	1.8683231,	0.050006285,	0
16190.968350172043,	1.8684948000000001,	0.050012648,	0
16191.468350172043,	1.8675028,	0.050012648,	0
16191.968350172043,	1.8680179,	0.050020918,	0
16192.468350172043,	1.8680370000000002,	0.050026007,	0
16192.968350172043,	1.8682468,	0.050026644,	0
16193.468350172043,	1.8684948000000001,	0.050022826,	0
16193.968350172043,	1.8692007,	0.050027914,	0
16194.468349933624,	1.8683231,	0.050020281,	0
16194.968349933624,	1.8692387999999998,	0.050013918,	0
16195.468349933624,	1.8687619,	0.050013918,	0
16195.968349933624,	1.8687809,	0.050010741,	0
16196.468349933624,	1.8695439999999999,	0.05000883,	0
16196.968349933624,	1.8683231,	0.050008193,	0
16197.468349933624,	1.8685329999999998,	0.050011374,	0
16197.968349933624,	1.8687428000000001,	0.050011374,	0
16198.468349933624,	1.8691624,	0.050011374,	0
16198.968349933624,	1.869811,	0.049998648,	0
16199.468349933624,	1.8703452,	0.050005652,	0
16199.968349933624,	1.8699065,	0.050008193,	0
16200.468349933624,	1.8696394,	0.0500101,	0
16200.968349933624,	1.8696774999999999,	0.050012648,	0
16201.468349933624,	1.8699637,	0.050006285,	0
16201.968349933624,	1.8695821000000001,	0.050018374,	0
16202.468349933624,	1.8685901999999999,	0.050020918,	0
16202.968349933624,	1.8687236999999999,	0.050005015,	0
16203.468349933624,	1.8685139,	0.050014555,	0
16203.968349933624,	1.8684374999999998,	0.050020281,	0
16204.468349933624,	1.8681131999999998,	0.050022826,	0
16204.968349933624,	1.8671785,	0.050026644,	0
16205.468349933624,	1.8680560000000002,	0.050015826,	0
16205.968349933624,	1.8681131999999998,	0.050021552,	0
16206.468349933624,	1.8688191,	0.0500171,	0
16206.968349933624,	1.8689334999999998,	0.050017737,	0
16207.468349933624,	1.8689907,	0.050009467,	0
16207.968349933624,	1.8693342,	0.050020281,	0
16208.468349933624,	1.8689907,	0.050016467,	0
16208.968349933624,	1.8686093000000001,	0.050022192,	0
16209.468349933624,	1.8689907,	0.050009467,	0
16209.968349933624,	1.8692387999999998,	0.050003745,	0
16210.468349933624,	1.8691052,	0.049997378,	0
16210.968349933624,	1.8702117,	0.050005652,	0
16211.468349933624,	1.8700019,	0.049996741,	0
16211.968349933624,	1.8696012,	0.050013285,	0
16212.468349933624,	1.8696012,	0.050005652,	0
16212.968349933624,	1.8693914,	0.050012011,	0
16213.468349933624,	1.8689144999999998,	0.0500101,	0
16213.968349695206,	1.8689907,	0.050021552,	0
16214.468349695206,	1.8693722999999998,	0.050015192,	0
16214.968349695206,	1.8687809,	0.050033007,	0
16215.468349695206,	1.8681323,	0.050030462,	0
16215.968349695206,	1.8687428000000001,	0.0500241,	0
16216.468349695206,	1.8690098000000002,	0.050023463,	0
16216.968349695206,	1.8688382,	0.050019644,	0
16217.468349695206,	1.8685329999999998,	0.050023463,	0
16217.968349695206,	1.8690669999999998,	0.0500171,	0
16218.468349695206,	1.8684758000000001,	0.05000883,	0
16218.968349695206,	1.8683993,	0.050014555,	0
16219.468349695206,	1.8692007,	0.050013918,	0
16219.968349695206,	1.8686664999999998,	0.050005652,	0
16220.468349695206,	1.8688571999999999,	0.050005015,	0
16220.968349695206,	1.869811,	0.050003104,	0
16221.468349695206,	1.8696966000000002,	0.050005652,	0
16221.968349695206,	1.8707077,	0.050008193,	0
16222.468349695206,	1.8707268,	0.05000056,	0
16222.968349695206,	1.870288,	0.050008193,	0
16223.468349695206,	1.8702689000000001,	0.050011374,	0
16223.968349695206,	1.8706695999999998,	0.050004374,	0
16224.468349695206,	1.8707459000000002,	0.05000883,	0
16224.968349695206,	1.869811,	0.05000883,	0
16225.468349695206,	1.8696012,	0.050007559,	0
16225.968349695206,	1.8701162999999998,	0.049999289,	0
16226.468349695206,	1.8694104999999999,	0.050010741,	0
16226.968349695206,	1.8688763000000002,	0.050012011,	0
16227.468349695206,	1.8690669999999998,	0.050022192,	0
16227.968349695206,	1.8690098000000002,	0.050027277,	0
16228.468349695206,	1.8690861,	0.050019011,	0
16228.968349695206,	1.8691243000000002,	0.050019644,	0
16229.468349695206,	1.8686474,	0.050023463,	0
16229.968349695206,	1.8688382,	0.050029188,	0
16230.468349695206,	1.8684184,	0.050022826,	0
16230.968349695206,	1.8679796999999998,	0.050016467,	0
16231.468349695206,	1.8687428000000001,	0.050017737,	0
16231.968349695206,	1.8689526,	0.050020281,	0
16232.468349695206,	1.8696202999999998,	0.050008193,	0
16232.968349695206,	1.8698301000000002,	0.050006285,	0
16233.468349456787,	1.8697157,	0.050015192,	0
16233.968349456787,	1.8702307999999999,	0.050015826,	0
16234.468349456787,	1.8702689000000001,	0.050016467,	0
16234.968349456787,	1.8708412,	0.050012011,	0
16235.468349456787,	1.8709557,	0.0500101,	0
16235.968349456787,	1.870784,	0.0500101,	0
16236.468349456787,	1.8707077,	0.050010741,	0
16236.968349456787,	1.8708412,	0.050009467,	0
16237.468349456787,	1.870784,	0.050015826,	0
16237.968349456787,	1.8708985,	0.05000883,	0
16238.468349456787,	1.8692197,	0.050023463,	0
16238.968349456787,	1.8692579,	0.050022192,	0
16239.468349456787,	1.8688954,	0.050021552,	0
16239.968349456787,	1.8688763000000002,	0.050024737,	0
16240.468349456787,	1.8690669999999998,	0.0500171,	0
16240.968349456787,	1.8688571999999999,	0.050017737,	0
16241.468349456787,	1.8679416,	0.050018374,	0
16241.968349456787,	1.8687428000000001,	0.0500171,	0
16242.468349456787,	1.8696394,	0.050018374,	0
16242.968349456787,	1.8700019,	0.0500101,	0
16243.468349456787,	1.8702689000000001,	0.050011374,	0
16243.968349456787,	1.8701735,	0.050014555,	0
16244.468349456787,	1.869792,	0.050023463,	0
16244.968349456787,	1.8696202999999998,	0.050004374,	0
16245.468349456787,	1.8700782,	0.050008193,	0
16245.968349456787,	1.8703642999999999,	0.049996741,	0
16246.468349456787,	1.8707459000000002,	0.049999289,	0
16246.968349456787,	1.8706885999999998,	0.050001197,	0
16247.468349456787,	1.8704215,	0.050006922,	0
16247.968349456787,	1.87004,	0.0500101,	0
16248.468349456787,	1.8693914,	0.050006922,	0
16248.968349456787,	1.8699256000000002,	0.049996741,	0
16249.468349456787,	1.8696394,	0.050004374,	0
16249.968349456787,	1.8690669999999998,	0.0500101,	0
16250.468349456787,	1.8695439999999999,	0.050013285,	0
16250.968349456787,	1.869792,	0.050019011,	0
16251.468349456787,	1.8691624,	0.050013285,	0
16251.968349456787,	1.8701925999999998,	0.0500241,	0
