name = spectra_0.66V
technique = spectrum
N_header_lines = 8
tstamp = 1
backend_name = BackendBase(none, address=none)
id = 2

wavelength / [nm],spectra_0.66V
450.58331,5488.3333333333
451.00531,5501.9333333333
451.42731,5505.3
451.8493,5513.4
452.27127,5538.3333333333
452.69327,5557.4666666667
453.11523,5560.4666666667
453.5372,5570.6333333333
453.95917,5581.1
454.38113,5599.0333333333
454.80307,5604.8666666667
455.22504,5617.0666666667
455.64697,5631.2333333333
456.06891,5626.2333333333
456.49084,5644.6666666667
456.91275,5640.9333333333
457.33469,5668.0
457.75659,5657.2666666667
458.1785,5684.3
458.6004,5688.7333333333
459.02228,5693.1
459.44418,5712.3666666667
459.86606,5712.9
460.28793,5719.6333333333
460.70981,5727.7666666667
461.13165,5754.3
461.55353,5750.1333333333
461.97537,5759.2333333333
462.39722,5776.1333333333
462.81906,5779.9333333333
463.24088,5803.1
463.66272,5801.4
464.08453,5818.5666666667
464.50635,5832.3
464.92816,5842.0666666667
465.34995,5855.7333333333
465.77176,5877.4666666667
466.19354,5880.1666666667
466.61533,5904.8666666667
467.03711,5918.0666666667
467.45886,5932.2
467.88065,5945.5333333333
468.3024,5963.5
468.72415,5983.7
469.14587,5997.1333333333
469.56763,6011.3
469.98935,6029.5666666667
470.41107,6041.1333333333
470.83279,6066.7
471.25452,6085.7666666667
471.67621,6094.2333333333
472.0979,6118.6666666667
472.51959,6128.8666666667
472.94128,6155.9333333333
473.36298,6168.8333333333
473.78464,6180.4333333333
474.2063,6212.6333333333
474.62796,6230.2
475.04962,6255.9333333333
475.47125,6271.3
475.89288,6298.1666666667
476.31451,6307.8333333333
476.73615,6336.3
477.15775,6362.2666666667
477.57938,6386.0666666667
478.00098,6406.0333333333
478.42258,6428.3333333333
478.84415,6451.9333333333
479.26575,6475.3333333333
479.68732,6493.6666666667
480.10889,6543.5333333333
480.53043,6547.0333333333
480.952,6571.9666666667
481.37354,6595.7333333333
481.79507,6626.4333333333
482.21661,6656.2333333333
482.63812,6671.9
483.05963,6715.0
483.48114,6724.3
483.90265,6760.0333333333
484.32416,6775.1333333333
484.74564,6817.1666666667
485.16711,6853.9
485.58859,6858.7666666667
486.01004,6901.8666666667
486.43152,6929.4666666667
486.85297,6963.3333333333
487.27441,6989.6
487.69583,7004.3
488.11728,7052.2
488.5387,7086.4
488.96011,7092.6666666667
489.3815,7127.2
489.80289,7170.2666666667
490.2243,7193.3
490.64566,7227.7333333333
491.06705,7253.5666666667
491.4884,7278.4
491.90976,7323.0
492.33112,7354.6666666667
492.75247,7374.4333333333
493.1738,7414.2333333333
493.59512,7451.5666666667
494.01645,7483.0666666667
494.43777,7509.2666666667
494.85907,7554.2333333333
495.28036,7586.9666666667
495.70166,7618.6333333333
496.12292,7646.8
496.54419,7687.7
496.96545,7725.6333333333
497.38672,7765.6666666667
497.80798,7800.6
498.22922,7830.4666666667
498.65045,7889.0333333333
499.07166,7930.3333333333
499.49289,7971.6333333333
499.91409,8001.8333333333
500.3353,8047.2
500.75647,8093.7
501.17767,8144.2333333333
501.59885,8182.2666666667
502.01999,8241.3333333333
502.44116,8284.0666666667
502.8623,8331.3
503.28345,8382.1666666667
503.70459,8428.1
504.1257,8493.0
504.54681,8531.2666666667
504.96793,8597.5666666667
505.38904,8659.4333333333
505.81012,8710.9333333333
506.2312,8762.5
506.65228,8820.1666666667
507.07333,8893.5333333333
507.49438,8933.8666666667
507.91544,9007.6
508.33649,9062.5666666667
508.75751,9128.4
509.17853,9174.5
509.59955,9255.3666666667
510.02054,9315.9
510.44153,9382.7666666667
510.86252,9476.2
511.28351,9518.1666666667
511.70447,9589.1333333333
512.12543,9654.6333333333
512.54639,9718.2666666667
512.96735,9796.4
513.38824,9849.8666666667
513.8092,9947.8333333333
514.2301,10008.6
514.651,10076.1333333333
515.0719,10150.0
515.4928,10226.3666666667
515.9137,10304.9666666667
516.33453,10364.7333333333
516.75543,10447.5666666667
517.17627,10503.7333333333
517.59711,10574.6
518.01794,10657.9666666667
518.43878,10722.9
518.85956,10814.9
519.2804,10873.8333333333
519.70117,10958.4666666667
520.12195,11039.2
520.54272,11096.7
520.9635,11176.5666666667
521.38428,11261.2333333333
521.80499,11329.0666666667
522.22577,11420.0333333333
522.64648,11498.0333333333
523.0672,11574.9333333333
523.48792,11650.0333333333
523.90863,11717.1666666667
524.32935,11813.4
524.75,11893.7666666667
525.17065,11968.7
525.59137,12054.1666666667
526.01202,12147.2333333333
526.43262,12211.9666666667
526.85327,12330.7666666667
527.27393,12389.7333333333
527.69452,12470.8
528.11511,12560.4666666667
528.53571,12665.2
528.9563,12751.5666666667
529.37689,12831.0
529.79742,12937.0
530.21802,13012.1666666667
530.63855,13117.6
531.05908,13205.7
531.47961,13304.9
531.90015,13395.4
532.32068,13482.8
532.74115,13593.1666666667
533.16162,13705.4
533.58209,13768.1666666667
534.00256,13884.8333333333
534.42303,13991.8
534.84351,14078.1333333333
535.26392,14189.1666666667
535.68433,14283.5
536.1048,14389.6
536.52515,14499.3333333333
536.94556,14596.0666666667
537.36597,14698.0666666667
537.78632,14825.6333333333
538.20673,14940.4666666667
538.62708,15042.4333333333
539.04742,15136.7333333333
539.46771,15253.2666666667
539.88806,15369.3666666667
540.30835,15478.2666666667
540.7287,15601.6666666667
541.14899,15702.7333333333
541.56927,15797.5333333333
541.9895,15932.0333333333
542.40979,16038.6
542.83002,16156.7333333333
543.25031,16260.7666666667
543.67053,16378.5666666667
544.09076,16503.2666666667
544.51093,16591.4666666667
544.93115,16727.3
545.35132,16836.7
545.77148,16967.0
546.19165,17064.7
546.61182,17176.7666666667
547.03198,17306.7
547.45209,17416.5
547.87225,17536.3
548.29236,17624.0333333333
548.71246,17750.9
549.13251,17894.0333333333
549.55261,17993.8666666667
549.97266,18110.0333333333
550.39276,18222.1
550.81281,18340.2666666667
551.23285,18470.0
551.65283,18577.7333333333
552.07288,18668.3333333333
552.49286,18806.6666666667
552.91284,18934.8666666667
553.33282,19066.7
553.75281,19159.7666666667
554.17279,19270.2666666667
554.59271,19395.5666666667
555.01263,19537.9333333333
555.43256,19656.8333333333
555.85248,19765.7
556.2724,19885.9
556.69226,20006.3333333333
557.11218,20112.9
557.53204,20240.5333333333
557.9519,20398.7
558.3717,20470.7
558.79156,20619.3
559.21136,20738.3333333333
559.63123,20879.2666666667
560.05103,21001.2333333333
560.47076,21129.8333333333
560.89056,21251.9666666667
561.3103,21360.7333333333
561.7301,21524.9333333333
562.14984,21652.9666666667
562.56958,21785.6666666667
562.98926,21886.7333333333
563.409,22052.0333333333
563.82867,22180.0
564.24835,22324.2666666667
564.66803,22447.4333333333
565.08771,22588.3
565.50732,22721.3666666667
565.92694,22884.6666666667
566.34662,23012.4
566.76624,23170.1333333333
567.18579,23298.4
567.60541,23431.9
568.02496,23604.3333333333
568.44452,23732.1666666667
568.86407,23881.7333333333
569.28363,24022.7
569.70319,24170.0333333333
570.12268,24348.2333333333
570.54218,24476.6
570.96167,24626.0333333333
571.38116,24761.0333333333
571.80066,24913.8
572.22009,25073.7333333333
572.63953,25226.0
573.05896,25352.0333333333
573.47839,25516.8666666667
573.89777,25672.4666666667
574.3172,25860.1333333333
574.73657,25944.0666666667
575.15594,26097.7666666667
575.57532,26273.3666666667
575.99463,26437.1666666667
576.414,26616.2666666667
576.83331,26743.5333333333
577.25262,26881.4666666667
577.67194,27030.6333333333
578.09119,27199.3333333333
578.51044,27377.8
578.92975,27513.1666666667
579.34894,27668.0
579.76819,27836.3333333333
580.18744,28006.7666666667
580.60663,28151.5666666667
581.02582,28327.4
581.44501,28476.7
581.8642,28622.6
582.28333,28796.7333333333
582.70251,28938.3
583.12164,29102.7666666667
583.54071,29282.9666666667
583.95984,29432.8333333333
584.37897,29612.1333333333
584.79803,29755.2666666667
585.2171,29920.3333333333
585.63617,30104.8666666667
586.05518,30279.0333333333
586.47424,30447.8666666667
586.89325,30626.3666666667
587.31226,30735.5
587.7312,30956.5333333333
588.15021,31112.0
588.56915,31283.6333333333
588.9881,31473.7333333333
589.40704,31610.7333333333
589.82599,31792.9
590.24487,31956.1666666667
590.66382,32160.2
591.0827,32291.2666666667
591.50159,32490.0666666667
591.92041,32651.1333333333
592.33929,32831.8
592.75812,32986.6666666667
593.17694,33157.5666666667
593.5957,33358.5
594.01453,33530.6333333333
594.43329,33674.6666666667
594.85205,33835.2666666667
595.27081,34047.3
595.68958,34181.5666666667
596.10828,34385.6
596.52698,34522.7666666667
596.94568,34707.0666666667
597.36438,34856.5666666667
597.78302,35028.7666666667
598.20172,35199.3666666667
598.62036,35368.0666666667
599.039,35539.8666666667
599.45758,35706.1333333333
599.87622,35871.2666666667
600.2948,36041.9333333333
600.71338,36204.4333333333
601.13196,36353.5666666667
601.55048,36541.9
601.96899,36692.3
602.38751,36829.4666666667
602.80603,36986.9
603.22455,37173.9666666667
603.64301,37315.4333333333
604.06146,37507.8
604.47992,37614.9
604.89838,37805.2666666667
605.31677,37937.1333333333
605.73523,38113.8666666667
606.15363,38293.0333333333
606.57196,38423.3333333333
606.99036,38598.7666666667
607.40869,38747.5
607.82703,38896.1666666667
608.24536,39043.7333333333
608.6637,39220.1666666667
609.08197,39373.5333333333
609.50024,39559.5333333333
609.91852,39669.6333333333
610.33679,39860.0333333333
610.755,39947.7
611.17328,40155.1333333333
611.59149,40296.8333333333
612.00964,40420.8666666667
612.42786,40579.4666666667
612.84601,40716.5
613.26416,40871.1333333333
613.68231,41014.4333333333
614.1004,41178.5666666667
614.51855,41330.7666666667
614.93665,41446.0
615.35474,41605.7333333333
615.77277,41760.8
616.19086,41900.1
616.60889,42040.6666666667
617.02692,42150.3
617.44489,42303.5333333333
617.86292,42430.4333333333
618.28088,42538.8
618.69885,42742.7
619.11682,42836.1
619.53473,42944.7333333333
619.95264,43113.7333333333
620.37054,43217.1333333333
620.78845,43366.1666666667
621.2063,43487.3666666667
621.62421,43610.8333333333
622.04205,43722.9333333333
622.45984,43838.2333333333
622.87769,43974.2
623.29547,44079.7
623.71326,44218.4666666667
624.13104,44309.2666666667
624.54877,44409.9666666667
624.96655,44585.5333333333
625.38428,44633.9
625.802,44771.9666666667
626.21967,44888.2333333333
626.63733,44974.5333333333
627.05499,45068.8666666667
627.47266,45280.7333333333
627.89032,45277.1
628.30792,45392.3333333333
628.72552,45490.9666666667
629.14313,45601.4666666667
629.56067,45657.0333333333
629.97827,45780.4333333333
630.39581,45928.9333333333
630.81329,45979.4333333333
631.23083,46077.5333333333
631.64832,46169.4
632.0658,46276.3666666667
632.48328,46386.1666666667
632.90076,46498.0666666667
633.31818,46581.6
633.7356,46655.5
634.15302,46728.0666666667
634.57037,46881.0666666667
634.98773,46977.3
635.40509,47052.0333333333
635.82245,47136.4333333333
636.23975,47233.7333333333
636.6571,47318.7333333333
637.0744,47437.6333333333
637.49164,47549.9333333333
637.90894,47590.4333333333
638.32617,47751.3333333333
638.74341,47814.5
639.16064,47916.7333333333
639.57782,48019.6666666667
639.995,48143.0666666667
640.41217,48233.9666666667
640.82935,48315.7
641.24646,48453.8
641.66357,48513.0666666667
642.08069,48621.5333333333
642.49774,48742.1
642.91486,48828.8666666667
643.33191,48931.5333333333
643.74896,49041.2666666667
644.16595,49143.7666666667
644.58295,49263.7
644.99994,49355.8333333333
645.41693,49478.2
645.83392,49538.0
646.25085,49672.3333333333
646.66779,49745.6333333333
647.08466,49893.3666666667
647.50159,49973.4
647.91846,50098.1666666667
648.33533,50236.0666666667
648.75214,50324.5
649.16901,50446.9
649.58582,50526.9
650.00256,50620.8666666667
650.41937,50756.3333333333
650.83612,50859.8333333333
651.25287,51022.7666666667
651.66962,51107.1333333333
652.0863,51193.3666666667
652.50299,51318.3666666667
652.91968,51433.9666666667
653.33636,51530.4
653.75299,51639.0
654.16962,51729.1666666667
654.58624,51875.5
655.00287,51965.3666666667
655.41943,52085.6666666667
655.836,52180.5666666667
656.25256,52267.1333333333
656.66907,52379.7
657.08557,52482.1
657.50208,52619.4666666667
657.91858,52684.4333333333
658.33502,52808.9666666667
658.75146,52860.9666666667
659.16791,52989.8
659.58429,53075.7666666667
660.00067,53164.9333333333
660.41705,53300.4333333333
660.83344,53390.7333333333
661.24976,53450.7333333333
661.66608,53556.3333333333
662.0824,53642.7333333333
662.49872,53750.9
662.91498,53866.4333333333
663.33124,53908.0333333333
663.7475,54041.7
664.1637,54038.1333333333
664.5799,54219.6333333333
664.99609,54305.3
665.41223,54355.4333333333
665.82843,54425.9
666.24457,54539.6
666.66064,54615.2
667.07678,54688.2333333333
667.49286,54757.6666666667
667.90894,54870.1
668.32495,54907.1
668.74103,54980.7333333333
669.15704,55039.1
669.573,55115.2666666667
