ixdat version = 0.2.5
name = C:\Users\scott\Dropbox\ixdat_resources\test_data\sec\test-7SEC.csv
technique = EC-Optical
tstamp = 1
backend_name = BackendBase(none, address=none)
id = 1
timecol 'time from scan rate' for: '$U_{RHE}$ / [V]' and 'J / [mA cm$^{-2}$]' and 'selector'
aliases = {"raw_potential": ["$U_{RHE}$ / [V]"], "raw_current": ["J / [mA cm$^{-2}$]"], "t": ["time from scan rate"]}
'spectrum_series' in file: 'exported_sec_spectra.csv'
'reference_spectrum' in file: 'exported_sec_reference.csv'
N_header_lines = 13

time from scan rate,	$U_{RHE}$ / [V],	J / [mA cm$^{-2}$],	selector
499.0000000000001,	1.159,	0.025428000000000003,	0
500.0000000000001,	1.1600000000000001,	0.0258895,	0
501.0000000000001,	1.161,	0.025428000000000003,	0
502.0000000000001,	1.162,	0.0258147,	0
503.0000000000001,	1.163,	0.0262761,	0
504.0000000000001,	1.1640000000000001,	0.0257648,	0
505.0000000000001,	1.165,	0.0257772,	0
506.0000000000001,	1.166,	0.025964300000000003,	0
507.0000000000001,	1.167,	0.0261015,	0
508.0000000000001,	1.1680000000000001,	0.025689899999999998,	0
509.0000000000001,	1.169,	0.026114000000000002,	0
510.0000000000001,	1.17,	0.025752300000000002,	0
511.0000000000001,	1.171,	0.0260017,	0
512.0000000000001,	1.1720000000000002,	0.025802199999999997,	0
513.0000000000001,	1.173,	0.026114000000000002,	0
514.0000000000001,	1.174,	0.0262637,	0
515.0000000000001,	1.175,	0.0261265,	0
516.0000000000001,	1.1760000000000002,	0.025877,	0
517.0000000000001,	1.177,	0.026226199999999998,	0
518.0000000000001,	1.178,	0.0257772,	0
519.0000000000001,	1.179,	0.026288600000000002,	0
520.0000000000001,	1.1800000000000002,	0.0258645,	0
521.0000000000001,	1.181,	0.0264009,	0
522.0000000000001,	1.182,	0.0257648,	0
523.0000000000001,	1.183,	0.026138900000000003,	0
524.0000000000001,	1.1840000000000002,	0.0258271,	0
525.0000000000001,	1.185,	0.026326,	0
526.0000000000001,	1.186,	0.0260641,	0
527.0000000000001,	1.187,	0.0265755,	0
528.0000000000001,	1.1880000000000002,	0.026089,	0
529.0000000000001,	1.189,	0.0260641,	0
530.0000000000001,	1.19,	0.026550499999999998,	0
531.0000000000001,	1.191,	0.0262138,	0
532.0000000000001,	1.1920000000000002,	0.0264258,	0
533.0000000000001,	1.193,	0.026338499999999997,	0
534.0000000000001,	1.194,	0.026563,	0
535.0000000000001,	1.195,	0.0263135,	0
536.0000000000001,	1.1960000000000002,	0.0263135,	0
537.0000000000001,	1.197,	0.0259519,	0
538.0000000000001,	1.198,	0.026687699999999998,	0
539.0000000000001,	1.1989999999999998,	0.026463200000000003,	0
540.0000000000001,	1.2,	0.026014199999999998,	0
541.0000000000001,	1.201,	0.026513099999999998,	0
542.0000000000001,	1.202,	0.0265755,	0
543.0000000000001,	1.2029999999999998,	0.026114000000000002,	0
544.0000000000001,	1.204,	0.0268873,	0
545.0000000000001,	1.205,	0.026550499999999998,	0
546.0000000000001,	1.206,	0.0264133,	0
547.0000000000001,	1.2069999999999999,	0.026650300000000002,	0
548.0000000000001,	1.208,	0.0264507,	0
549.0000000000001,	1.209,	0.0266378,	0
550.0000000000001,	1.21,	0.026612900000000002,	0
551.0000000000001,	1.2109999999999999,	0.0264258,	0
552.0000000000001,	1.212,	0.0266378,	0
553.0000000000001,	1.213,	0.0264757,	0
554.0000000000001,	1.214,	0.0267625,	0
555.0000000000001,	1.2149999999999999,	0.0267501,	0
556.0000000000001,	1.216,	0.0263634,	0
557.0000000000001,	1.217,	0.0264757,	0
558.0000000000001,	1.218,	0.0268997,	0
559.0000000000001,	1.2189999999999999,	0.026538,	0
560.0000000000001,	1.22,	0.026787500000000002,	0
561.0000000000001,	1.221,	0.0266253,	0
562.0000000000001,	1.222,	0.0266004,	0
563.0000000000001,	1.2229999999999999,	0.026563,	0
564.0000000000001,	1.224,	0.026550499999999998,	0
565.0000000000001,	1.225,	0.026338499999999997,	0
566.0000000000001,	1.226,	0.0272864,	0
567.0000000000001,	1.2269999999999999,	0.0265256,	0
568.0000000000001,	1.228,	0.026775,	0
569.0000000000001,	1.229,	0.0265879,	0
570.0000000000001,	1.23,	0.026787500000000002,	0
571.0000000000001,	1.2309999999999999,	0.0269496,	0
572.0000000000001,	1.232,	0.0266004,	0
573.0000000000001,	1.233,	0.0268997,	0
574.0000000000001,	1.234,	0.026787500000000002,	0
575.0000000000001,	1.2349999999999999,	0.026787500000000002,	0
576.0000000000001,	1.236,	0.0268498,	0
577.0000000000001,	1.237,	0.0269122,	0
578.0000000000001,	1.238,	0.0271242,	0
579.0000000000001,	1.2389999999999999,	0.0270245,	0
580.0000000000001,	1.24,	0.026650300000000002,	0
581.0000000000001,	1.241,	0.0264757,	0
582.0000000000001,	1.242,	0.027149200000000002,	0
583.0000000000001,	1.2429999999999999,	0.026874799999999997,	0
584.0000000000001,	1.244,	0.026725099999999998,	0
585.0000000000001,	1.245,	0.0269621,	0
586.0000000000001,	1.246,	0.0270868,	0
587.0000000000001,	1.2469999999999999,	0.026563,	0
588.0000000000001,	1.248,	0.0270245,	0
589.0000000000001,	1.249,	0.026824900000000002,	0
590.0000000000001,	1.25,	0.026563,	0
591.0000000000001,	1.251,	0.0272739,	0
592.0000000000001,	1.252,	0.027261399999999998,	0
593.0000000000001,	1.2530000000000001,	0.027012,	0
594.0000000000001,	1.254,	0.0270369,	0
595.0000000000001,	1.255,	0.0270868,	0
596.0000000000001,	1.256,	0.0270369,	0
597.0000000000001,	1.2570000000000001,	0.026999500000000003,	0
598.0000000000001,	1.258,	0.0271741,	0
599.0000000000001,	1.259,	0.0271367,	0
600.0000000000001,	1.26,	0.0272739,	0
601.0000000000001,	1.261,	0.0269372,	0
602.0000000000001,	1.262,	0.0268997,	0
603.0000000000001,	1.263,	0.0273487,	0
604.0000000000001,	1.264,	0.0267127,	0
605.0000000000001,	1.265,	0.0270743,	0
606.0000000000001,	1.266,	0.027323800000000002,	0
607.0000000000001,	1.267,	0.0270245,	0
608.0000000000001,	1.268,	0.0272365,	0
609.0000000000001,	1.269,	0.0273363,	0
610.0000000000001,	1.27,	0.026999500000000003,	0
611.0000000000001,	1.271,	0.0274111,	0
612.0000000000001,	1.272,	0.0272864,	0
613.0000000000001,	1.273,	0.0270993,	0
614.0000000000001,	1.274,	0.0273986,	0
615.0000000000001,	1.275,	0.0270369,	0
616.0000000000001,	1.276,	0.027249,	0
617.0000000000001,	1.277,	0.0274735,	0
618.0000000000001,	1.278,	0.027049399999999998,	0
619.0000000000001,	1.279,	0.0272864,	0
620.0000000000001,	1.28,	0.0275608,	0
621.0000000000001,	1.281,	0.027261399999999998,	0
622.0000000000001,	1.282,	0.027373699999999997,	0
623.0000000000001,	1.283,	0.027373699999999997,	0
624.0000000000001,	1.284,	0.0273986,	0
625.0000000000001,	1.285,	0.027461,	0
626.0000000000001,	1.286,	0.027585699999999998,	0
627.0000000000001,	1.287,	0.0274236,	0
628.0000000000001,	1.288,	0.0272115,	0
629.0000000000001,	1.289,	0.0275608,	0
630.0000000000001,	1.29,	0.0274111,	0
631.0000000000001,	1.291,	0.027548299999999998,	0
632.0000000000001,	1.292,	0.0280596,	0
633.0000000000001,	1.293,	0.0275982,	0
634.0000000000001,	1.294,	0.0277728,	0
635.0000000000001,	1.295,	0.0274111,	0
636.0000000000001,	1.296,	0.027548299999999998,	0
637.0000000000001,	1.297,	0.0274236,	0
638.0000000000001,	1.298,	0.0278102,	0
639.0000000000001,	1.299,	0.027909999999999997,	0
640.0000000000001,	1.3,	0.0275233,	0
641.0000000000001,	1.301,	0.0275233,	0
642.0000000000001,	1.302,	0.0275233,	0
643.0000000000001,	1.303,	0.0280098,	0
644.0000000000001,	1.304,	0.027685500000000002,	0
645.0000000000001,	1.305,	0.027710400000000003,	0
646.0000000000001,	1.306,	0.027698,	0
647.0000000000001,	1.307,	0.0277478,	0
648.0000000000001,	1.308,	0.0280222,	0
649.0000000000001,	1.309,	0.0277728,	0
650.0000000000001,	1.31,	0.027860100000000002,	0
651.0000000000001,	1.311,	0.027760299999999998,	0
652.0000000000001,	1.312,	0.0280971,	0
653.0000000000001,	1.313,	0.0278476,	0
654.0000000000001,	1.314,	0.0277853,	0
655.0000000000001,	1.315,	0.0282717,	0
656.0000000000001,	1.316,	0.0284588,	0
657.0000000000001,	1.317,	0.0279973,	0
658.0000000000001,	1.318,	0.0281345,	0
659.0000000000001,	1.319,	0.027698,	0
660.0000000000001,	1.32,	0.0281719,	0
661.0000000000001,	1.321,	0.028122,	0
662.0000000000001,	1.322,	0.0278476,	0
663.0000000000001,	1.323,	0.0283715,	0
664.0000000000001,	1.324,	0.027710400000000003,	0
665.0000000000001,	1.325,	0.0284962,	0
666.0000000000001,	1.326,	0.0285585,	0
667.0000000000001,	1.327,	0.0284588,	0
668.0000000000001,	1.328,	0.0284338,	0
669.0000000000001,	1.329,	0.0285086,	0
670.0000000000001,	1.33,	0.0282467,	0
671.0000000000001,	1.331,	0.0284338,	0
672.0000000000001,	1.332,	0.0286458,	0
673.0000000000001,	1.333,	0.0281095,	0
674.0000000000001,	1.334,	0.0285461,	0
675.0000000000001,	1.335,	0.0285461,	0
676.0000000000001,	1.336,	0.028571000000000003,	0
677.0000000000001,	1.337,	0.0285211,	0
678.0000000000001,	1.338,	0.0287331,	0
679.0000000000001,	1.339,	0.028596,	0
680.0000000000001,	1.34,	0.0289826,	0
681.0000000000001,	1.341,	0.028783,	0
682.0000000000001,	1.342,	0.0286334,	0
683.0000000000001,	1.343,	0.0288703,	0
684.0000000000001,	1.344,	0.0286583,	0
685.0000000000001,	1.345,	0.029257000000000002,	0
686.0000000000001,	1.346,	0.0283715,	0
687.0000000000001,	1.347,	0.029294399999999998,	0
688.0000000000001,	1.348,	0.0291697,	0
689.0000000000001,	1.349,	0.029119799999999998,	0
690.0000000000001,	1.35,	0.0289202,	0
691.0000000000001,	1.351,	0.0292071,	0
692.0000000000001,	1.352,	0.029119799999999998,	0
693.0000000000001,	1.353,	0.029706,	0
694.0000000000001,	1.354,	0.029257000000000002,	0
695.0000000000001,	1.355,	0.0291697,	0
696.0000000000001,	1.356,	0.029257000000000002,	0
697.0000000000001,	1.357,	0.029257000000000002,	0
698.0000000000001,	1.358,	0.029394200000000002,	0
699.0000000000001,	1.359,	0.0295813,	0
700.0000000000001,	1.36,	0.0296311,	0
701.0000000000001,	1.361,	0.0296311,	0
702.0000000000001,	1.362,	0.029606200000000003,	0
703.0000000000001,	1.363,	0.0293692,	0
704.0000000000001,	1.364,	0.0297808,	0
705.0000000000001,	1.365,	0.0297933,	0
706.0000000000001,	1.366,	0.0300178,	0
707.0000000000001,	1.367,	0.0295688,	0
708.0000000000001,	1.368,	0.0300552,	0
709.0000000000001,	1.369,	0.029967900000000002,	0
710.0000000000001,	1.37,	0.0300552,	0
711.0000000000001,	1.371,	0.030142500000000003,	0
712.0000000000001,	1.372,	0.029805799999999997,	0
713.0000000000001,	1.373,	0.0302049,	0
714.0000000000001,	1.374,	0.0304418,	0
715.0000000000001,	1.375,	0.030329599999999998,	0
716.0000000000001,	1.3760000000000001,	0.0304294,	0
717.0000000000001,	1.377,	0.0302049,	0
718.0000000000001,	1.3780000000000001,	0.0306663,	0
719.0000000000001,	1.379,	0.030766099999999998,	0
720.0000000000001,	1.3800000000000001,	0.0305291,	0
721.0000000000001,	1.381,	0.0305541,	0
722.0000000000001,	1.3820000000000001,	0.0307287,	0
723.0000000000001,	1.383,	0.031115299999999995,	0
724.0000000000001,	1.3840000000000001,	0.0308534,	0
725.0000000000001,	1.385,	0.030903299999999998,	0
726.0000000000001,	1.386,	0.0308784,	0
727.0000000000001,	1.387,	0.0313772,	0
728.0000000000001,	1.388,	0.0312151,	0
729.0000000000001,	1.389,	0.0316392,	0
730.0000000000001,	1.39,	0.0316641,	0
731.0000000000001,	1.391,	0.0314895,	0
732.0000000000001,	1.392,	0.0317389,	0
733.0000000000001,	1.393,	0.0313648,	0
734.0000000000001,	1.394,	0.0320009,	0
735.0000000000001,	1.395,	0.0319759,	0
736.0000000000001,	1.396,	0.0323251,	0
737.0000000000001,	1.397,	0.0325496,	0
738.0000000000001,	1.398,	0.0322378,	0
739.0000000000001,	1.399,	0.032612,	0
740.0000000000001,	1.4,	0.032474800000000005,	0
741.0000000000001,	1.401,	0.0329737,	0
742.0000000000001,	1.402,	0.033472600000000005,	0
743.0000000000001,	1.403,	0.0336347,	0
744.0000000000001,	1.404,	0.033534900000000006,	0
745.0000000000001,	1.405,	0.0341211,	0
746.0000000000001,	1.406,	0.0340962,	0
747.0000000000001,	1.407,	0.034507800000000005,	0
748.0000000000001,	1.408,	0.0347198,	0
749.0000000000001,	1.409,	0.0347323,	0
750.0000000000001,	1.41,	0.035717599999999995,	0
751.0000000000001,	1.411,	0.0359046,	0
752.0000000000001,	1.412,	0.0364409,	0
753.0000000000001,	1.413,	0.0369024,	0
754.0000000000001,	1.414,	0.0376383,	0
755.0000000000001,	1.415,	0.0379127,	0
756.0000000000001,	1.416,	0.0385986,	0
757.0000000000001,	1.417,	0.0392597,	0
758.0000000000001,	1.418,	0.0397461,	0
759.0000000000001,	1.419,	0.0407813,	0
760.0000000000001,	1.42,	0.0414672,	0
761.0000000000001,	1.421,	0.0426521,	0
762.0000000000001,	1.422,	0.043300599999999995,	0
763.0000000000001,	1.423,	0.0445104,	0
764.0000000000001,	1.424,	0.0455082,	0
765.0000000000001,	1.425,	0.0470922,	0
766.0000000000001,	1.426,	0.0480775,	0
767.0000000000001,	1.427,	0.0495991,	0
768.0000000000002,	1.428,	0.0512828,	0
769.0000000000002,	1.429,	0.052792,	0
770.0000000000002,	1.43,	0.0551741,	0
771.0000000000002,	1.431,	0.0567581,	0
772.0000000000002,	1.432,	0.0587537,	0
773.0000000000002,	1.433,	0.061597299999999994,	0
774.0000000000002,	1.434,	0.0636552,	0
775.0000000000002,	1.435,	0.0665488,	0
776.0000000000002,	1.436,	0.0689684,	0
777.0000000000002,	1.437,	0.07211129999999999,	0
778.0000000000002,	1.438,	0.0759029,	0
779.0000000000002,	1.439,	0.078971,	0
780.0000000000002,	1.44,	0.0827002,	0
781.0000000000002,	1.441,	0.0865915,	0
782.0000000000002,	1.442,	0.0909568,	0
783.0000000000002,	1.443,	0.095746,	0
784.0000000000002,	1.444,	0.1006095,	0
785.0000000000002,	1.445,	0.1052236,	0
786.0000000000002,	1.446,	0.11095999999999999,	0
787.0000000000002,	1.447,	0.11644700000000001,	0
788.0000000000002,	1.448,	0.12180930000000001,	0
789.0000000000002,	1.449,	0.1285434,	0
790.0000000000002,	1.45,	0.1344045,	0
791.0000000000002,	1.451,	0.1417621,	0
792.0000000000002,	1.452,	0.148995,	0
793.0000000000002,	1.453,	0.15597850000000002,	0
794.0000000000002,	1.454,	0.16395959999999998,	0
795.0000000000002,	1.455,	0.171816,	0
796.0000000000002,	1.456,	0.1805453,	0
797.0000000000002,	1.457,	0.1895241,	0
798.0000000000002,	1.458,	0.1982534,	0
799.0000000000002,	1.459,	0.20835450000000003,	0
800.0000000000002,	1.46,	0.21808149999999998,	0
801.0000000000002,	1.461,	0.22818259999999999,	0
802.0000000000002,	1.462,	0.23840830000000002,	0
803.0000000000002,	1.463,	0.24925769999999997,	0
804.0000000000002,	1.464,	0.26035640000000004,	0
805.0000000000002,	1.465,	0.2720787,	0
806.0000000000002,	1.466,	0.28367620000000004,	0
807.0000000000002,	1.467,	0.29552320000000004,	0
808.0000000000002,	1.468,	0.3079936,	0
809.0000000000002,	1.469,	0.3209629,	0
810.0000000000002,	1.47,	0.3343064,	0
811.0000000000002,	1.471,	0.3476498,	0
812.0000000000002,	1.472,	0.3608685,	0
813.0000000000002,	1.473,	0.3747107,	0
814.0000000000002,	1.474,	0.38955059999999997,	0
815.0000000000002,	1.475,	0.4037669,	0
816.0000000000002,	1.476,	0.4188562,	0
817.0000000000002,	1.477,	0.4338208,	0
818.0000000000002,	1.478,	0.4490348,	0
819.0000000000002,	1.479,	0.4648723,	0
820.0000000000002,	1.48,	0.4809592,	0
821.0000000000002,	1.481,	0.49654729999999997,	0
822.0000000000002,	1.482,	0.5133825,	0
823.0000000000002,	1.483,	0.5295941000000001,	0
824.0000000000002,	1.484,	0.5466787,	0
825.0000000000002,	1.485,	0.5635138000000001,	0
826.0000000000002,	1.486,	0.5808477999999999,	0
827.0000000000002,	1.487,	0.5984312,	0
828.0000000000002,	1.488,	0.6165134,	0
829.0000000000002,	1.489,	0.6345956,	0
830.0000000000002,	1.49,	0.6528025000000001,	0
831.0000000000002,	1.491,	0.6711341000000001,	0
832.0000000000002,	1.492,	0.6894657000000001,	0
833.0000000000002,	1.493,	0.7082961,	0
834.0000000000002,	1.494,	0.7277501000000001,	0
835.0000000000002,	1.495,	0.7464558,	0
836.0000000000002,	1.496,	0.7662839,	0
837.0000000000002,	1.497,	0.7854884,	0
838.0000000000002,	1.498,	0.8058153,	0
839.0000000000002,	1.499,	0.8255187,	0
840.0000000000002,	1.5,	0.8457209,	0
841.0000000000002,	1.5010000000000001,	0.8656735999999999,	0
842.0000000000002,	1.502,	0.8863746,	0
843.0000000000002,	1.5030000000000001,	0.9065768000000001,	0
844.0000000000002,	1.504,	0.9274025,	0
845.0000000000002,	1.5050000000000001,	0.9483529,	0
846.0000000000002,	1.506,	0.9695526999999999,	0
847.0000000000002,	1.5070000000000001,	0.9907525999999999,	0
848.0000000000002,	1.508,	1.0119794,	0
849.0000000000002,	1.5090000000000001,	1.0331458,	0
850.0000000000002,	1.51,	1.0543122,	0
851.0000000000002,	1.511,	1.0754785999999998,	0
852.0000000000002,	1.512,	1.09789,	0
853.0000000000002,	1.513,	1.1203014999999998,	0
854.0000000000002,	1.514,	1.142713,	0
855.0000000000002,	1.515,	1.1651245,	0
856.0000000000002,	1.516,	1.1875360000000001,	0
857.0000000000002,	1.517,	1.2099474,	0
858.0000000000002,	1.518,	1.2323589,	0
859.0000000000002,	1.519,	1.2547704,	0
860.0000000000002,	1.52,	1.2784269,	0
861.0000000000002,	1.521,	1.3008384,	0
862.0000000000002,	1.522,	1.324495,	0
863.0000000000002,	1.523,	1.3469065,	0
864.0000000000002,	1.524,	1.370563,	0
865.0000000000002,	1.525,	1.3942196,	0
866.0000000000002,	1.526,	1.4178761,	0
867.0000000000002,	1.527,	1.4415327,	0
868.0000000000002,	1.528,	1.4651893,	0
869.0000000000002,	1.529,	1.4888458,	0
870.0000000000002,	1.53,	1.5125023999999998,	0
871.0000000000002,	1.531,	1.537404,	0
872.0000000000002,	1.532,	1.5610606,	0
873.0000000000002,	1.533,	1.5859622,	0
874.0000000000002,	1.534,	1.6096188,	0
875.0000000000002,	1.535,	1.6345204,	0
876.0000000000002,	1.536,	1.6594221,	0
877.0000000000002,	1.537,	1.6843237,	0
878.0000000000002,	1.538,	1.7079803,	0
879.0000000000002,	1.539,	1.7328819,	0
880.0000000000002,	1.54,	1.7577836,	0
881.0000000000002,	1.541,	1.7826852,	0
882.0000000000002,	1.542,	1.8075868,	0
883.0000000000002,	1.543,	1.8337336,	0
884.0000000000002,	1.544,	1.8586352000000002,	0
885.0000000000002,	1.545,	1.8835368,	0
886.0000000000002,	1.546,	1.9084385000000001,	0
887.0000000000002,	1.547,	1.9345852000000001,	0
888.0000000000002,	1.548,	1.9594869000000001,	0
889.0000000000002,	1.549,	1.9856335999999999,	0
890.0000000000002,	1.55,	2.0117803,	0
891.0000000000002,	1.551,	2.0379270000000003,	0
892.0000000000002,	1.552,	2.0640738,	0
893.0000000000002,	1.553,	2.0889754,	0
894.0000000000002,	1.554,	2.1151221000000002,	0
895.0000000000002,	1.555,	2.1412687999999998,	0
896.0000000000002,	1.556,	2.1674156,	0
897.0000000000002,	1.557,	2.1935623,	0
898.0000000000002,	1.558,	2.219709,	0
899.0000000000002,	1.559,	2.2458557,	0
900.0000000000002,	1.56,	2.2720025,	0
901.0000000000002,	1.561,	2.2981491999999997,	0
902.0000000000002,	1.562,	2.3242959,	0
903.0000000000002,	1.563,	2.3504426,	0
904.0000000000002,	1.564,	2.3778344,	0
905.0000000000002,	1.565,	2.4039812,	0
906.0000000000002,	1.566,	2.4301279,	0
907.0000000000002,	1.567,	2.4562746,	0
908.0000000000002,	1.568,	2.4836664,	0
909.0000000000002,	1.569,	2.5098131,	0
910.0000000000002,	1.57,	2.5372049,	0
911.0000000000002,	1.571,	2.5670869,	0
912.0000000000002,	1.572,	2.5944787000000002,	0
913.0000000000002,	1.573,	2.6218705,	0
914.0000000000002,	1.574,	2.6492623,	0
915.0000000000002,	1.575,	2.6766541,	0
916.0000000000002,	1.576,	2.7028008999999997,	0
917.0000000000002,	1.577,	2.7314378,	0
918.0000000000002,	1.578,	2.7588296000000003,	0
919.0000000000002,	1.579,	2.7862214,	0
920.0000000000002,	1.58,	2.8136132,	0
921.0000000000002,	1.581,	2.841005,	0
922.0000000000002,	1.582,	2.8683967999999997,	0
923.0000000000002,	1.583,	2.8957886,	0
924.0000000000002,	1.584,	2.9219353000000003,	0
925.0000000000002,	1.585,	2.9505722,	0
926.0000000000002,	1.586,	2.977964,	0
927.0000000000002,	1.587,	3.0053558000000002,	0
928.0000000000002,	1.588,	3.0327476,	0
929.0000000000002,	1.589,	3.0601394,	0
930.0000000000002,	1.59,	3.0887763,	0
931.0000000000002,	1.591,	3.1161681,	0
932.0000000000002,	1.592,	3.1435599,	0
933.0000000000002,	1.593,	3.1709517000000003,	0
934.0000000000002,	1.594,	3.1983435,	0
935.0000000000002,	1.595,	3.2282255,	0
936.0000000000002,	1.596,	3.2556173,	0
937.0000000000002,	1.597,	3.2842542,	0
938.0000000000002,	1.598,	3.3128911000000003,	0
939.0000000000002,	1.599,	3.3402829,	0
940.0000000000002,	1.6,	3.3689198,	0
941.0000000000002,	1.601,	3.3975567,	0
942.0000000000002,	1.602,	3.4249484999999997,	0
943.0000000000002,	1.603,	3.4523403,	0
944.0000000000002,	1.604,	3.4822223,	0
945.0000000000002,	1.605,	3.5096141,	0
946.0000000000002,	1.606,	3.5382509,	0
947.0000000000002,	1.607,	3.5668878000000004,	0
948.0000000000002,	1.608,	3.5955247,	0
949.0000000000002,	1.609,	3.6241616,	0
950.0000000000002,	1.61,	3.6515533999999996,	0
951.0000000000002,	1.611,	3.6814354,	0
952.0000000000002,	1.612,	3.7100723,	0
953.0000000000002,	1.613,	3.7374641,	0
954.0000000000002,	1.614,	3.7673461,	0
955.0000000000002,	1.615,	3.7959829000000003,	0
956.0000000000002,	1.616,	3.8246198,	0
957.0000000000002,	1.617,	3.8520116,	0
958.0000000000002,	1.618,	3.8818936,	0
959.0000000000002,	1.619,	3.9105305,	0
960.0000000000002,	1.62,	3.9391673999999997,	0
961.0000000000002,	1.621,	3.9678042999999996,	0
962.0000000000002,	1.622,	3.9976862000000004,	0
963.0000000000002,	1.623,	4.025078,	0
964.0000000000002,	1.624,	4.0549599999999995,	0
965.0000000000002,	1.625,	4.0835969,	0
966.0000000000002,	1.6260000000000001,	4.1122338,	0
967.0000000000002,	1.627,	4.1421158,	0
968.0000000000002,	1.6280000000000001,	4.169507599999999,	0
969.0000000000002,	1.629,	4.1993895000000006,	0
970.0000000000002,	1.6300000000000001,	4.2292715,	0
971.0000000000002,	1.631,	4.2579084,	0
972.0000000000002,	1.6320000000000001,	4.2877904,	0
973.0000000000002,	1.633,	4.3164273,	0
974.0000000000002,	1.6340000000000001,	4.345064099999999,	0
975.0000000000002,	1.635,	4.373701,	0
976.0000000000002,	1.636,	4.403583,	0
977.0000000000002,	1.637,	4.4322199,	0
978.0000000000002,	1.638,	4.4621019,	0
979.0000000000002,	1.639,	4.4907388,	0
980.0000000000002,	1.64,	4.5193756,	0
981.0000000000002,	1.641,	4.5480125000000005,	0
982.0000000000002,	1.642,	4.577894499999999,	0
983.0000000000002,	1.643,	4.6065314,	0
984.0000000000002,	1.644,	4.6364134,	0
985.0000000000002,	1.645,	4.6662953,	0
986.0000000000002,	1.646,	4.6961772999999996,	0
987.0000000000002,	1.647,	4.7248142,	0
988.0000000000002,	1.648,	4.754696200000001,	0
989.0000000000002,	1.649,	4.783333,	0
990.0000000000002,	1.65,	4.8132150000000005,	0
991.0000000000002,	1.651,	4.8418519,	0
992.0000000000002,	1.652,	4.871733900000001,	0
993.0000000000002,	1.653,	4.9016158,	0
994.0000000000002,	1.654,	4.9314978,	0
995.0000000000002,	1.655,	4.9588896,	0
996.0000000000002,	1.656,	4.9900167,	0
997.0000000000002,	1.657,	5.0186535999999995,	0
998.0000000000002,	1.658,	5.049780599999999,	0
999.0000000000002,	1.659,	5.0784175,	0
1000.0000000000002,	1.66,	5.1082995,	0
1001.0000000000002,	1.661,	5.1381814,	0
1002.0000000000002,	1.662,	5.1668183,	0
1003.0000000000002,	1.663,	5.1967003,	0
1004.0000000000002,	1.664,	5.2265823000000005,	0
1005.0000000000002,	1.665,	5.2564642,	0
1006.0000000000002,	1.666,	5.2863462,	0
1007.0000000000002,	1.667,	5.3162282,	0
1008.0000000000002,	1.668,	5.3486003,	0
1009.0000000000002,	1.669,	5.3784823,	0
1010.0000000000002,	1.67,	5.408364300000001,	0
1011.0000000000002,	1.671,	5.4370011,	0
1012.0000000000002,	1.672,	5.4693733,	0
1013.0000000000002,	1.673,	5.4980102,	0
1014.0000000000002,	1.674,	5.5278921,	0
1015.0000000000002,	1.675,	5.5577741000000005,	0
1016.0000000000002,	1.676,	5.5876561,	0
1017.0000000000002,	1.677,	5.617538,	0
1018.0000000000002,	1.678,	5.6486651000000005,	0
1019.0000000000002,	1.679,	5.677302,	0
1020.0000000000002,	1.68,	5.708429,	0
1021.0000000000002,	1.681,	5.738311,	0
1022.0000000000002,	1.682,	5.768192999999999,	0
1023.0000000000002,	1.683,	5.79932,	0
1024.0000000000002,	1.684,	5.8279569,	0
1025.0000000000002,	1.685,	5.8578389,	0
1026.0000000000002,	1.686,	5.8877209,	0
1027.0000000000002,	1.687,	5.9188479,	0
1028.0000000000002,	1.688,	5.9474848,	0
1029.0000000000002,	1.689,	5.9786119,	0
1030.0000000000002,	1.69,	6.008493799999999,	0
1031.0000000000002,	1.691,	6.0346405,	0
1032.0000000000002,	1.692,	6.0657676,	0
1033.0000000000002,	1.693,	6.0968947,	0
1034.0000000000002,	1.694,	6.1255315,	0
1035.0000000000002,	1.695,	6.161638900000001,	0
1036.0000000000002,	1.696,	6.1915208999999995,	0
1037.0000000000002,	1.697,	6.2214029,	0
1038.0000000000002,	1.698,	6.2512848,	0
1039.0000000000002,	1.699,	6.281166799999999,	0
1040.0000000000002,	1.7,	6.3110488,	0
1041.0000000000002,	1.701,	6.3409306999999995,	0
1042.0000000000002,	1.702,	6.3708127,	0
1043.0000000000002,	1.703,	6.4031848,	0
1044.0000000000002,	1.704,	6.4330668,	0
1045.0000000000002,	1.705,	6.4629487999999995,	0
1046.0000000000002,	1.706,	6.4928308,	0
1047.0000000000002,	1.707,	6.5227127,	0
1048.0000000000002,	1.708,	6.5538397999999995,	0
1049.0000000000002,	1.709,	6.584966799999999,	0
1050.0000000000002,	1.71,	6.6148488,	0
1051.0000000000002,	1.711,	6.648466,	0
1052.0000000000002,	1.712,	6.6795931,	0
1053.0000000000002,	1.713,	6.7107201000000005,	0
1054.0000000000002,	1.714,	6.740602099999999,	0
1055.0000000000002,	1.715,	6.7717291,	0
1056.0000000000002,	1.716,	6.801611100000001,	0
1057.0000000000002,	1.717,	6.831493099999999,	0
1058.0000000000002,	1.718,	6.8626201,	0
1059.0000000000002,	1.719,	6.8925021,	0
1060.0000000000002,	1.72,	6.9223840999999995,	0
1061.0000000000002,	1.721,	6.9535111,	0
1062.0000000000002,	1.722,	6.9833931,	0
