ixdat version = 0.2.5
name = C:\Users\scott\Dropbox\ixdat_resources\test_data\sec\test-7SEC.csv
technique = EC-Optical
tstamp = 1
backend_name = BackendBase(none, address=none)
id = 1
timecol 'time from scan rate' for: '$U_{RHE}$ / [V]' and 'J / [mA cm$^{-2}$]' and 'selector'
aliases = {"raw_potential": ["$U_{RHE}$ / [V]"], "raw_current": ["J / [mA cm$^{-2}$]"], "t": ["time from scan rate"]}
'spectrum_series' in file: 'exported_sec_spectra.csv'
'reference_spectrum' in file: 'exported_sec_reference.csv'
N_header_lines = 13

time from scan rate,	$U_{RHE}$ / [V],	J / [mA cm$^{-2}$],	selector
114.00000000000003,	0.774,	0.0291821,	0
115.00000000000003,	0.775,	0.029257000000000002,	0
116.00000000000003,	0.776,	0.0289951,	0
117.00000000000003,	0.777,	0.0296935,	0
118.00000000000003,	0.778,	0.0295189,	0
119.00000000000003,	0.779,	0.0295813,	0
120.00000000000003,	0.78,	0.0295438,	0
121.00000000000003,	0.781,	0.029681,	0
122.00000000000003,	0.782,	0.0293568,	0
123.00000000000003,	0.783,	0.029868099999999998,	0
124.00000000000003,	0.784,	0.0295937,	0
125.00000000000003,	0.785,	0.0296935,	0
126.00000000000003,	0.786,	0.0300053,	0
127.00000000000003,	0.787,	0.030329599999999998,	0
128.00000000000003,	0.788,	0.0301051,	0
129.00000000000003,	0.789,	0.030254800000000002,	0
130.00000000000003,	0.79,	0.0297808,	0
131.00000000000003,	0.791,	0.0302049,	0
132.00000000000003,	0.792,	0.0304543,	0
133.00000000000003,	0.793,	0.0303919,	0
134.00000000000003,	0.794,	0.0303545,	0
135.00000000000003,	0.795,	0.0301176,	0
136.00000000000003,	0.796,	0.0305541,	0
137.00000000000003,	0.797,	0.030292200000000002,	0
138.00000000000003,	0.798,	0.0308534,	0
139.00000000000003,	0.799,	0.030329599999999998,	0
140.00000000000003,	0.8,	0.0308285,	0
141.00000000000003,	0.801,	0.030579,	0
142.00000000000003,	0.802,	0.0308285,	0
143.00000000000003,	0.803,	0.030641400000000003,	0
144.00000000000003,	0.804,	0.030815999999999996,	0
145.00000000000003,	0.805,	0.030766099999999998,	0
146.00000000000003,	0.806,	0.030678800000000003,	0
147.00000000000003,	0.807,	0.030865899999999998,	0
148.00000000000003,	0.808,	0.030865899999999998,	0
149.00000000000003,	0.809,	0.030678800000000003,	0
150.00000000000003,	0.81,	0.0309532,	0
151.00000000000003,	0.811,	0.0307911,	0
152.00000000000003,	0.812,	0.0311777,	0
153.00000000000003,	0.8130000000000001,	0.031202599999999997,	0
154.00000000000003,	0.8140000000000001,	0.031040500000000002,	0
155.00000000000003,	0.8150000000000001,	0.0313772,	0
156.00000000000003,	0.8160000000000001,	0.0312401,	0
157.00000000000003,	0.8170000000000001,	0.031053,	0
158.00000000000003,	0.8180000000000001,	0.0313523,	0
159.00000000000003,	0.8190000000000001,	0.030965700000000002,	0
160.00000000000003,	0.8200000000000001,	0.0315893,	0
161.00000000000003,	0.8210000000000001,	0.0312775,	0
162.00000000000003,	0.8220000000000001,	0.031165199999999997,	0
