ixdat version = 0.2.0dev
name = extended_platinum_ec
technique = EC
tstamp = 1580480022.056785
backend_name = BackendBase(none, address=none)
id = 7
timecol 'time/s' for: '$U_{RHE}$ / [V]' and '<I>/mA' and 'selector'
aliases = {"t": ["time/s"], "raw_potential": ["$U_{RHE}$ / [V]"], "raw_current": ["<I>/mA"], "selector": ["selector"]}
N_header_lines = 11

time/s,	$U_{RHE}$ / [V],	<I>/mA,	selector
114.99999856948853,	0.40145297999999996,	6.112784481135804e-05,	0
115.99999856948853,	0.40280743999999996,	5.887021094355292e-05,	0
116.99999856948853,	0.40156746,	5.875035663830203e-05,	0
117.99999856948853,	0.40257853,	6.13804021929637e-05,	0
118.99999856948853,	0.40185361999999997,	6.571371955577088e-05,	0
119.99999856948853,	0.40091883999999994,	7.053472930264185e-05,	0
120.99999856948853,	0.40095700999999995,	7.484502010811974e-05,	0
121.99999856948853,	0.40051823,	7.780090664977017e-05,	0
122.99999856948853,	0.40103331,	7.846952089089428e-05,	0
123.99999856948853,	0.400709,	7.607409499705114e-05,	0
124.99999856948853,	0.40122407,	7.147892740897532e-05,	0
125.99999856948853,	0.40151023999999996,	6.650880542034658e-05,	0
126.99999833106995,	0.40282650999999997,	6.214723658194991e-05,	0
127.99999833106995,	0.40158652999999994,	5.945510520757578e-05,	0
128.99999833106995,	0.40292191,	5.880684924460975e-05,	0
129.99999833106995,	0.40231143999999996,	6.12176691332819e-05,	0
130.99999833106995,	0.40181546999999995,	6.539868909474626e-05,	0
131.99999833106995,	0.40151023999999996,	7.009971663312622e-05,	0
132.99999833106995,	0.40078531999999994,	7.458240494547116e-05,	0
133.99999833106995,	0.39891579,	7.767990601003021e-05,	0
134.99999833106995,	0.40105238,	7.877373527598471e-05,	0
135.99999833106995,	0.40095700999999995,	7.608070893541026e-05,	0
136.99999833106995,	0.400213,	7.168937544300893e-05,	0
137.99999833106995,	0.40147208999999995,	6.701035728403867e-05,	0
138.99999833106995,	0.40301728,	6.286228794728002e-05,	0
139.99999833106995,	0.40297912999999996,	5.984940030704137e-05,	0
140.99999833106995,	0.40360867999999994,	5.918282444114311e-05,	0
141.99999833106995,	0.40212067999999995,	6.160662416472746e-05,	0
142.99999833106995,	0.40225422,	6.594757859884333e-05,	0
143.99999833106995,	0.40118592999999997,	7.039362675570807e-05,	0
144.99999833106995,	0.40141484,	7.475506119350244e-05,	0
145.99999833106995,	0.40057546,	7.80243296093601e-05,	0
146.99999809265137,	0.39990779,	7.894893749397602e-05,	0
147.99999809265137,	0.400213,	7.643582133622421e-05,	0
149.00019812583923,	0.40133853999999997,	7.222629713639849e-05,	0
149.01679825782776,	0.40028931999999995,	0.0001186453082482331,	1
149.1016981601715,	0.39988333,	2.269242253208885e-05,	1
149.25569820404053,	0.39673035999999995,	1.893048081514475e-05,	1
149.4098982810974,	0.39360280999999997,	1.758068894669076e-05,	1
149.56389808654785,	0.39070421,	1.814021871004111e-05,	1
149.71809816360474,	0.38779603999999995,	1.641292442948711e-05,	1
149.87209820747375,	0.38472475999999994,	1.343352155762188e-05,	1
150.02629828453064,	0.38159819999999994,	1.414140429241038e-05,	1
150.18029808998108,	0.37863813999999996,	1.315690481518908e-05,	1
150.33449816703796,	0.37582326,	1.016184579781345e-05,	1
150.48849821090698,	0.37239261999999995,	1.03851001005752e-05,	1
150.6426980495453,	0.36953108999999995,	1.118394812405446e-05,	1
150.7966980934143,	0.3665848,	7.792362009818209e-06,	1
150.9508981704712,	0.36375190999999996,	6.837733349791906e-06,	1
151.1048982143402,	0.36043253,	7.91299755953918e-06,	1
151.25909805297852,	0.35751274,	4.181441296423929e-06,	1
151.41309809684753,	0.35447000999999995,	2.705847784940186e-06,	1
151.56729817390442,	0.35155546,	5.059433596351993e-06,	1
151.72129821777344,	0.34851062,	4.310405098665836e-06,	1
151.87549805641174,	0.34530782,	1.592350716804345e-06,	1
152.02949810028076,	0.34243786,	2.914605738344235e-06,	1
152.18369817733765,	0.33926689,	3.357945698513933e-06,	1
152.33769822120667,	0.33625486,	8.750974714048937e-07,	1
152.49189805984497,	0.33298212,	3.809276000278888e-07,	1
152.645898103714,	0.33022764,	2.917432079182317e-06,	1
152.80009818077087,	0.32710220999999995,	1.002264885801734e-07,	1
152.9540982246399,	0.32403405999999996,	-1.089952457244177e-06,	1
153.1082980632782,	0.32085879999999994,	2.365429916432812e-06,	1
153.26229810714722,	0.31766456,	2.092430091504859e-07,	1
153.4164981842041,	0.31483586999999996,	-8.262839308330044e-07,	1
153.57049822807312,	0.31178145999999995,	2.241210210623127e-06,	1
153.72469806671143,	0.30838897,	2.39778461072782e-06,	1
153.87869811058044,	0.30500605,	-1.024922188672718e-06,	1
154.03289818763733,	0.30225261999999997,	1.631388058089419e-06,	1
154.186998128891,	0.29896941,	3.248639983386049e-06,	1
154.34109807014465,	0.29595836999999997,	1.233238409902388e-06,	1
154.49519801139832,	0.29276713,	6.474918338438757e-07,	1
154.64929819107056,	0.28969058,	4.237362181171399e-06,	1
154.80339813232422,	0.28646317,	1.968185186977735e-06,	1
154.95749807357788,	0.28316845999999996,	9.914957574372294e-07,	1
155.11159801483154,	0.28018414999999997,	2.736051827119774e-06,	1
155.26569819450378,	0.27683918999999996,	4.063476430459257e-06,	1
155.41979813575745,	0.27364777999999995,	2.709445934219246e-07,	1
155.5738980770111,	0.27049616,	3.746336094051259e-06,	1
155.72799801826477,	0.26770004,	4.13142222874725e-06,	1
155.882098197937,	0.26449438999999997,	1.231353871416027e-06,	1
156.03619813919067,	0.26134001999999995,	3.529278607197987e-06,	1
156.19029808044434,	0.25814076999999996,	5.243921723323578e-06,	1
156.344398021698,	0.25491758999999997,	1.615845029562297e-06,	1
156.49849820137024,	0.25202350999999995,	2.318021965397573e-06,	1
156.6525981426239,	0.24881010999999997,	5.10479028590983e-06,	1
156.80669808387756,	0.24533279999999996,	3.067286971484976e-06,	1
156.96079802513123,	0.24228655999999998,	9.866469012243915e-07,	1
157.1148979663849,	0.23911588999999994,	2.670505779302215e-06,	1
157.26899814605713,	0.23583558,	3.376427725807948e-06,	1
157.4230980873108,	0.23288308999999996,	-8.79780683637803e-07,	1
157.57719802856445,	0.22975363999999998,	1.15596842342796e-06,	1
157.73129796981812,	0.22649133,	2.024443076685706e-06,	1
157.88539814949036,	0.22324576999999995,	-2.098245045091612e-06,	1
158.03949809074402,	0.22055210999999997,	-2.250604582924245e-06,	1
158.19359803199768,	0.21722676999999996,	-1.624357221572603e-06,	1
158.34769797325134,	0.21406808,	-4.360795585047568e-06,	1
158.50179815292358,	0.21099742999999993,	-6.51095668073881e-06,	1
158.65589809417725,	0.20803669000000002,	-5.578939470280372e-06,	1
158.8099980354309,	0.20491459999999995,	-8.17625676804423e-06,	1
158.96409797668457,	0.20183458999999992,	-1.144864844677856e-05,	1
159.1181981563568,	0.19858010999999998,	-1.245239554886036e-05,	1
159.27229809761047,	0.19558586999999994,	-1.277187790541548e-05,	1
159.42639803886414,	0.19251116999999995,	-1.791922174799017e-05,	1
159.5804979801178,	0.18952265000000001,	-1.890217719727864e-05,	1
159.73459815979004,	0.18663587999999998,	-1.968917422510662e-05,	1
159.8886981010437,	0.18347742999999994,	-2.556827532700078e-05,	1
160.04279804229736,	0.18044671,	-2.80310968782181e-05,	1
160.19689798355103,	0.17739828999999996,	-2.827128141753258e-05,	1
160.3509979248047,	0.17439903999999995,	-3.381961623397166e-05,	1
160.50509810447693,	0.17138697999999997,	-3.820633594568408e-05,	1
160.6591980457306,	0.16846587999999996,	-3.966828685889729e-05,	1
160.81329798698425,	0.16547217999999997,	-4.338144462598793e-05,	1
160.96739792823792,	0.16256286999999991,	-5.034731337554238e-05,	1
161.12149810791016,	0.15948732999999993,	-5.374579711255848e-05,	1
161.27559804916382,	0.15634592999999997,	-5.588091383626243e-05,	1
161.42969799041748,	0.15317192000000002,	-6.200702707446208e-05,	1
161.58379793167114,	0.15018560999999997,	-6.629191146086073e-05,	1
161.73789811134338,	0.14726445,	-6.840121855863191e-05,	1
161.89199805259705,	0.14446147999999992,	-7.65527946096029e-05,	1
162.0460979938507,	0.14135381000000002,	-8.294213134522085e-05,	1
162.20019793510437,	0.13820054999999998,	-8.512819923774985e-05,	1
162.3542981147766,	0.13506492999999997,	-9.163312683883488e-05,	1
162.50839805603027,	0.13232149999999998,	-9.91369516319411e-05,	1
162.66249799728394,	0.12915948,	-0.0001041736440067346,	1
162.8165979385376,	0.12616165999999995,	-0.0001109423787985691,	1
162.97069811820984,	0.12306656999999999,	-0.0001197003779897891,	1
163.1247980594635,	0.12029066,	-0.0001276633086553247,	1
163.27889800071716,	0.11714961999999995,	-0.0001307946839553893,	1
163.43299794197083,	0.11413242999999995,	-0.0001401277567875508,	1
163.58709812164307,	0.11094859000000001,	-0.0001483906123640182,	1
163.74119806289673,	0.10810038,	-0.0001555125211844549,	1
163.8952980041504,	0.10503049999999992,	-0.0001645987457885418,	1
164.04939794540405,	0.10171409999999992,	-0.0001763260970960834,	1
164.20349788665771,	0.09896411999999999,	-0.0001821263439373745,	1
164.35759806632996,	0.09570660999999991,	-0.0001936455542248226,	1
164.51169800758362,	0.09286596999999996,	-0.0002063478547290223,	1
164.66579794883728,	0.08977064000000001,	-0.0002155860702046782,	1
164.81989789009094,	0.08684935999999999,	-0.000226383848544693,	1
164.97399806976318,	0.08373971999999996,	-0.0002407324480122432,	1
165.12809801101685,	0.08079673999999992,	-0.000253281954492689,	1
165.2821979522705,	0.07720198999999994,	-0.0002660903649467743,	1
165.43629789352417,	0.07428517999999995,	-0.0002831394400998844,	1
165.5903980731964,	0.07140424000000001,	-0.0002991264960726767,	1
165.74449801445007,	0.06817521999999998,	-0.0003143008167986183,	1
165.89859795570374,	0.06525554999999994,	-0.000332608439541,	1
166.0526978969574,	0.06189270999999996,	-0.0003543732669755483,	1
166.20679807662964,	0.058797619999999995,	-0.0003728533966884319,	1
166.3608980178833,	0.05552425999999999,	-0.0003927181531675973,	1
166.51499795913696,	0.052551000000000014,	-0.0004194765652962936,	1
166.66909790039062,	0.04929669999999997,	-0.0004439211907964761,	1
166.82319808006287,	0.04628040999999994,	-0.0004714376882971371,	1
166.97729802131653,	0.04309889,	-0.0005071096199609072,	1
167.1313979625702,	0.03987683999999991,	-0.0005379433982482373,	1
167.24699807167053,	0.03777094999999997,	-0.0005705460194496778,	1
167.27919793128967,	0.036495349999999926,	-0.0009596589952707291,	1
167.294597864151,	0.036495349999999926,	-0.0003551215438831919,	1
167.3793978691101,	0.038507669999999994,	-0.0001615577638067137,	1
167.53349804878235,	0.04141159999999999,	-5.684039793593285e-05,	1
167.687597990036,	0.044605999999999923,	-2.387364213193427e-06,	1
167.84169793128967,	0.047816179999999986,	3.61541316327081e-05,	1
167.99579787254333,	0.05074778000000002,	6.077595014855857e-05,	1
168.14989805221558,	0.053332469999999965,	8.575495062305549e-05,	1
168.30399799346924,	0.05631509000000001,	0.0001077619623747325,	1
168.4580979347229,	0.059856739999999964,	0.0001188026910694925,	1
168.61219787597656,	0.06253822999999992,	0.0001317644172565582,	1
168.7662980556488,	0.06559463999999993,	0.0001456536761157627,	1
168.92039799690247,	0.06871607999999996,	0.0001516344456169931,	1
169.07449793815613,	0.07174261999999998,	0.0001563021709471433,	1
169.2285978794098,	0.07492729999999992,	0.0001647933911569136,	1
169.38269782066345,	0.07769884999999999,	0.0001697385114558542,	1
169.5367980003357,	0.08088812000000001,	0.0001703114448706276,	1
169.69089794158936,	0.08361478999999994,	0.0001750648949966799,	1
169.84499788284302,	0.08669421,	0.0001789024941773632,	1
169.99909782409668,	0.08994724999999992,	0.00017598521437738,	1
170.15319800376892,	0.09286496,	0.0001770211299951655,	1
170.30729794502258,	0.09577407999999998,	0.0001806226355442608,	1
170.46139788627625,	0.09911771999999996,	0.0001778735365575053,	1
170.6154978275299,	0.10222735999999999,	0.0001765945137203588,	1
170.76959800720215,	0.10508569999999995,	0.0001788754608153212,	1
170.9236979484558,	0.10815807999999993,	0.0001771642321643837,	1
171.07779788970947,	0.11141248999999998,	0.0001721894574203283,	1
171.23189783096313,	0.11411853999999999,	0.0001741049696266051,	1
171.38599801063538,	0.11740603999999999,	0.0001725990146447406,	1
171.54009795188904,	0.12046047999999998,	0.000169834641009549,	1
171.6941978931427,	0.12350282000000001,	0.0001671774611300358,	1
171.84829783439636,	0.12672509999999992,	0.0001686080112463986,	1
172.0023980140686,	0.12987967999999994,	0.0001627894356620611,	1
172.15649795532227,	0.13289436,	0.0001595028122436623,	1
172.31059789657593,	0.13614872,	0.000160752740682239,	1
172.4646978378296,	0.13956161999999994,	0.0001577672482666092,	1
172.61879777908325,	0.14259031,	0.0001527616534782798,	1
172.7728979587555,	0.14568205999999995,	0.0001533946620026165,	1
172.92699790000916,	0.14884993000000002,	0.0001514864605010402,	1
173.08109784126282,	0.15171786999999992,	0.0001465768186169818,	1
173.23519778251648,	0.15494385,	0.0001454253834360041,	1
173.38929796218872,	0.15851017,	0.0001459618531719632,	1
173.54339790344238,	0.16138485000000002,	0.0001425590951920318,	1
173.69749784469604,	0.16432645999999995,	0.0001385545129406539,	1
173.8515977859497,	0.16786541999999993,	0.0001379362742529107,	1
174.00569796562195,	0.17091325000000002,	0.0001357732811327486,	1
174.1597979068756,	0.1740317,	0.0001318042614657786,	1
174.31389784812927,	0.17705603999999997,	0.0001323276056856666,	1
174.46799778938293,	0.18028803999999998,	0.0001308817262608143,	1
174.62209796905518,	0.18354419,	0.0001265083221004535,	1
174.77619791030884,	0.18661799999999995,	0.0001262474044613302,	1
174.9302978515625,	0.18938060999999995,	0.0001270332767045303,	1
175.08439779281616,	0.19284870999999992,	0.0001228939527623298,	1
175.2384979724884,	0.19605436999999992,	0.000121780892682936,	1
175.39259791374207,	0.19895801000000002,	0.0001217898373315142,	1
175.54669785499573,	0.20234224,	0.0001202625780924687,	1
175.7007977962494,	0.20547839999999995,	0.0001172022621559832,	1
175.85489773750305,	0.20874890000000001,	0.0001180435301180813,	1
176.0089979171753,	0.21195515999999992,	0.000116981237188069,	1
176.16309785842896,	0.21483334999999992,	0.0001150634316118573,	1
176.31719779968262,	0.21790026999999995,	0.0001147734015603292,	1
176.47129774093628,	0.22107037999999996,	0.0001167702453837858,	1
176.62539792060852,	0.22423728999999998,	0.0001136595049747637,	1
176.77949786186218,	0.22724594999999997,	0.0001129739809892522,	1
176.93359780311584,	0.23028080999999995,	0.0001142039661372468,	1
177.0876977443695,	0.23319681999999997,	0.0001139942049700293,	1
177.24179792404175,	0.23649715999999998,	0.0001126290823255265,	1
177.3958978652954,	0.23952185999999998,	0.0001148023677655279,	1
177.54999780654907,	0.24269026,	0.0001137777467551328,	1
177.70409774780273,	0.24565180999999997,	0.0001128542780371709,	1
177.85819792747498,	0.24846511999999998,	0.0001141577264239268,	1
178.01229786872864,	0.25172036999999997,	0.0001161444432554379,	1
178.1663978099823,	0.25486352999999995,	0.0001147655718364188,	1
178.32049775123596,	0.25797542999999995,	0.000114568634734776,	1
178.4745979309082,	0.26097645999999997,	0.0001168168201715332,	1
178.62869787216187,	0.26360729,	0.0001175327027946975,	1
178.78279781341553,	0.26675804999999997,	0.000115615569385245,	1
178.9368977546692,	0.26988142,	0.0001181453137342372,	1
179.09099793434143,	0.27276539,	0.0001186828573236437,	1
179.2450978755951,	0.2759214,	0.0001172395976126914,	1
179.39919781684875,	0.27883207,	0.0001192921008670708,	1
179.55329775810242,	0.28185528,	0.00012128562197768,	1
179.70739769935608,	0.28516882,	0.0001196699387138867,	1
179.86149787902832,	0.28808178999999995,	0.0001196094377272384,	1
180.01559782028198,	0.29104273999999997,	0.0001228963979392698,	1
180.16969776153564,	0.29403265999999995,	0.0001231625473626142,	1
180.3237977027893,	0.29700473,	0.0001213324341018999,	1
180.47789788246155,	0.29995386999999996,	0.0001240602606146226,	1
180.6319978237152,	0.30286224999999994,	0.000124349453565467,	1
180.78609776496887,	0.30598213999999996,	0.0001228416433035956,	1
180.94019770622253,	0.30887066999999996,	0.0001243133266574865,	1
181.09429788589478,	0.31220646999999996,	0.0001270973674348977,	1
181.24839782714844,	0.31506546999999996,	0.0001248394025697356,	1
181.4024977684021,	0.31821033,	0.0001259343502520191,	1
181.55659770965576,	0.32114931999999996,	0.0001277641371550263,	1
181.710697889328,	0.32436898,	0.0001274145124636542,	1
181.86479783058167,	0.32726659999999996,	0.0001259799384055421,	1
182.01889777183533,	0.3302637,	0.0001280685890410922,	1
182.172997713089,	0.33329516,	0.0001285451370511281,	1
182.32709789276123,	0.33639579999999997,	0.0001260139957366202,	1
182.4811978340149,	0.33953085,	0.0001266716341396124,	1
182.63529777526855,	0.34249191999999995,	0.0001290209496052014,	1
182.78939771652222,	0.34546771,	0.0001260213126579044,	1
182.94349765777588,	0.34852018999999995,	0.0001257666004531509,	1
183.09759783744812,	0.35182573999999994,	0.0001284223815210296,	1
183.25169777870178,	0.35477948,	0.0001261784500862698,	1
183.40579771995544,	0.35801383,	0.0001259829786905064,	1
183.5598976612091,	0.36094442,	0.0001274276993448161,	1
183.71399784088135,	0.36435999999999996,	0.0001260884600018914,	1
183.868097782135,	0.36736905,	0.0001236512217858898,	1
184.02219772338867,	0.37054785999999995,	0.0001241760466550152,	1
184.17629766464233,	0.37321924999999995,	0.0001259244566405701,	1
184.33039784431458,	0.37659560999999997,	0.0001219794040268501,	1
184.48449778556824,	0.37966617999999996,	0.0001221588191118558,	1
184.6385977268219,	0.38326289999999996,	0.0001241881302749943,	1
184.79269766807556,	0.38609608999999995,	0.0001214430171831596,	1
184.9467978477478,	0.38934170999999995,	0.0001195180665782041,	1
185.10089778900146,	0.39214449999999995,	0.0001219345078739493,	1
185.25499773025513,	0.39562045999999995,	0.0001206260596306689,	1
185.4090976715088,	0.39899515999999996,	0.0001187202193657342,	1
185.56319785118103,	0.40194979,	0.0001200822173219756,	1
185.7172977924347,	0.40504256,	0.0001206414413840507,	1
185.87139773368835,	0.40796309,	0.000118150133078115,	1
186.02549767494202,	0.41115451,	0.0001187494355238872,	1
186.17959761619568,	0.41449114,	0.0001202701846109489,	1
186.33369779586792,	0.41761829999999994,	0.0001192560140748831,	1
186.48779773712158,	0.42068230999999995,	0.0001175999863359236,	1
186.64189767837524,	0.42389248999999996,	0.0001200608851733857,	1
186.7959976196289,	0.42695336999999994,	0.0001193759861262088,	1
186.95009779930115,	0.43010199,	0.0001177838701390219,	1
187.1041977405548,	0.43321364999999995,	0.0001203572694749638,	1
187.25829768180847,	0.43653511999999994,	0.0001225923486995944,	1
187.41239762306213,	0.43949996999999996,	0.0001195873949328308,	1
187.56649780273438,	0.44293006999999995,	0.0001211051407278532,	1
187.72059774398804,	0.44571979999999994,	0.0001234000251290378,	1
187.8746976852417,	0.44901237,	0.0001234254921541262,	1
188.02879762649536,	0.45222309,	0.0001231389863698552,	1
188.1828978061676,	0.45538612999999994,	0.0001264522376112354,	1
188.33699774742126,	0.45844692,	0.0001274474396890436,	1
188.49109768867493,	0.46139000999999996,	0.0001267170743692182,	1
188.6451976299286,	0.46465766,	0.000130167353573601,	1
188.79929780960083,	0.46765778999999996,	0.0001325679342280503,	1
188.9533977508545,	0.47080714999999995,	0.0001325622305112783,	1
189.10749769210815,	0.47388528999999996,	0.000135402881167118,	1
189.26159763336182,	0.4767667,	0.0001412962819743826,	1
189.41569757461548,	0.47977046,	0.000141030375786493,	1
189.56979775428772,	0.48321724999999993,	0.0001425241676354949,	1
189.72389769554138,	0.48619194,	0.0001471243891048372,	1
189.87799763679504,	0.48923741,	0.000150026705859741,	1
190.0320975780487,	0.492128,	0.0001515884031384382,	1
190.18619775772095,	0.49525507999999996,	0.0001559136924381937,	1
190.3402976989746,	0.4981181,	0.0001604052232650269,	1
190.49439764022827,	0.5013858499999999,	0.0001616671686699503,	1
190.64849758148193,	0.50421418,	0.0001653899535184625,	1
190.80259776115417,	0.5072639999999999,	0.0001713156578539566,	1
190.95669770240784,	0.5103728,	0.00017408377372659,	1
191.1107976436615,	0.51314522,	0.0001764080363966091,	1
191.26489758491516,	0.5162812999999999,	0.0001834448593946384,	1
